Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Colour,Seats,No. of Doors,Price,Mileage_value,Mileage_unit,Engine_value,Engine_unit,Power_value,Power_unit,Company_Name,Model_Name
Mahindra Scorpio,Pune,2012.0,99000.0,Diesel,Manual,Third,Black/Silver,8.0,5.0,6.0,12.05,kmpl,2179.0,CC,120.0,bhp,Mahindra,Scorpio
Maruti Baleno,Kochi,2018.0,18678.0,Petrol,Manual,First,Others,5.0,4.0,8.32,21.1,kmpl,998.0,CC,100.0,bhp,Maruti,Baleno
Mahindra Xylo,Bangalore,2013.0,197000.0,Diesel,Manual,First,White,7.0,5.0,4.0,11.68,kmpl,2498.0,CC,112.0,bhp,Mahindra,Xylo
Hyundai Grand,Delhi,2014.0,45000.0,Diesel,Manual,First,White,5.0,4.0,3.49,24.0,kmpl,1120.0,CC,70.0,bhp,Hyundai,Grand
Toyota Innova,Delhi,2011.0,65000.0,Diesel,Manual,First,Others,8.0,5.0,6.4,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
Honda WRV,Kochi,2018.0,15135.0,Petrol,Manual,First,White,5.0,4.0,9.29,17.5,kmpl,1199.0,CC,88.7,bhp,Honda,WRV
Hyundai Verna,Bangalore,2016.0,79000.0,Diesel,Manual,First,White,5.0,4.0,7.25,24.8,kmpl,1396.0,CC,88.7,bhp,Hyundai,Verna
Toyota Fortuner,Pune,2015.0,36000.0,Diesel,Automatic,First,White,7.0,5.0,22.0,12.55,kmpl,2982.0,CC,168.5,bhp,Toyota,Fortuner
Toyota Innova,Hyderabad,2009.0,156056.0,Diesel,Manual,First,Others,8.0,5.0,8.5,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
Chevrolet Beat,Hyderabad,2012.0,61250.0,Diesel,Manual,First,Others,5.0,4.0,2.7,25.44,kmpl,936.0,CC,57.6,bhp,Chevrolet,Beat
Toyota Innova,Hyderabad,2007.0,199000.0,Diesel,Manual,Second,Others,7.0,4.0,5.2,12.8,kmpl,2494.0,CC,102.0,bhp,Toyota,Innova
